VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
1,2015012900,-73.989761352539063,40.758991241455078,7.5,0,1,1.70
1,2015012900,-73.979255676269531,40.747165679931641,7,2.05,2,1.50
1,2015012900,-73.781837463378906,40.644733428955078,52,7,1,19.30
1,2015012900,-73.967384338378906,40.803192138671875,9.5,0,2,2.00
1,2015012900,-73.952751159667969,40.775749206542969,11,3.65,1,3.20
1,2015012900,-73.968719482421875,40.757560729980469,9.5,2.16,1,2.60
2,2015012900,-73.986953735351563,40.720909118652344,5,1.26,1,.48
2,2015012900,-73.982101440429688,40.745929718017578,6,1.3,2,1.25
2,2015012900,-73.988304138183594,40.774631500244141,35,5,1,11.58
1,2015012900,-73.999252319335938,40.728275299072266,6.5,0,1,.90
2,2015012900,-73.99365234375,40.721591949462891,8,2.32,1,1.28
1,2015012900,-73.782470703125,40.644554138183594,43,8,1,15.50
1,2015012900,-73.9713134765625,40.757282257080078,6.5,1.55,1,1.20
2,2015012900,-74.010482788085937,40.710170745849609,26,5.46,5,8.41
2,2015012900,-73.993064880371094,40.742961883544922,12,1,1,3.09
2,2015012900,-73.988311767578125,40.721950531005859,21,4.46,1,5.47
2,2015012900,-74.00421142578125,40.742507934570313,9.5,1,5,2.09
1,2015012900,-73.992080688476562,40.747589111328125,8,1.7,1,1.50
2,2015012900,-73.990249633789063,40.751605987548828,15.5,3.36,1,3.73
2,2015012900,-73.94842529296875,40.676044464111328,5.5,0,3,.88
2,2015012900,-73.982772827148438,40.76171875,8,0,1,1.88
2,2015012900,-73.993156433105469,40.742263793945313,11.5,2.56,2,2.84
1,2015012900,-73.979133605957031,40.752384185791016,11.5,2.55,1,3.10
2,2015012900,-74.002265930175781,40.726692199707031,6,0.8,1,.96
1,2015012900,-74.001266479492188,40.729194641113281,15,3.26,1,3.90
1,2015012900,-73.920379638671875,40.757194519042969,6.5,1.95,1,1.20
2,2015012900,-73.9964599609375,40.725749969482422,5.5,0,1,.77
1,2015012900,-73.971656799316406,40.757572174072266,8.5,1.96,2,2.10
2,2015012900,-74.003837585449219,40.732021331787109,26,0,1,8.37
2,2015012900,-73.776718139648438,40.645416259765625,52,11.63,1,19.37
2,2015012900,-73.993560791015625,40.694606781005859,14,3.06,1,4.18
2,2015012900,-73.996078491210937,40.732143402099609,7.5,0,1,1.42
2,2015012900,-73.783401489257812,40.648578643798828,34.5,7,1,12.30
1,2015012900,-73.87310791015625,40.774021148681641,27.5,6.83,2,9.40
2,2015012900,-73.982307434082031,40.760940551757813,10,0,5,2.37
2,2015012900,-73.976051330566406,40.763961791992188,12,2.66,5,3.04
2,2015012900,-73.984954833984375,40.769138336181641,9.5,2.16,1,2.68
1,2015012900,-73.982101440429688,40.778591156005859,15.5,0,1,4.30
1,2015012900,-73.968406677246094,40.755073547363281,6,0,1,1.10
1,2015012900,-73.98675537109375,40.749462127685547,31.5,6.55,1,9.00
1,2015012900,-73.985389709472656,40.748149871826172,8.5,2.45,1,1.60
2,2015012900,-73.971771240234375,40.756908416748047,4,0,1,.50
2,2015012900,-73.95782470703125,40.789695739746094,5,1.1,1,.67
2,2015012900,-73.988479614257813,40.769279479980469,13.5,2.96,1,3.60
2,2015012900,-73.991081237792969,40.739879608154297,17.5,3,1,4.66
1,2015012900,-73.973594665527344,40.752262115478516,32.5,6,1,11.30
1,2015012900,-73.967391967773438,40.760299682617188,20.5,4,2,5.40
2,2015012900,-73.865821838378906,40.770706176757813,30.5,0,1,10.68
2,2015012900,-73.947723388671875,40.790298461914063,4.5,0,3,.86
2,2015012900,-73.978843688964844,40.724105834960938,14.5,4.23,1,4.25
2,2015012900,-73.982780456542969,40.744686126708984,11,1,5,1.92
1,2015012900,-73.998321533203125,40.750751495361328,4.5,0,1,.80
2,2015012900,-73.986587524414063,40.722412109375,21.5,4.56,1,5.70
2,2015012900,-73.989120483398437,40.718730926513672,16,4.32,1,4.32
1,2015012900,-73.991043090820313,40.775077819824219,5,1.25,1,.90
2,2015012900,-73.975509643554688,40.762744903564453,12.5,2.6,2,2.75
1,2015012900,-73.958274841308594,40.717357635498047,8.5,3,2,1.60
2,2015012900,-73.940582275390625,40.814659118652344,4,0,3,.57
2,2015012900,-73.977134704589844,40.755916595458984,14,0,1,4.03
2,2015012900,-73.954948425292969,40.789016723632813,8,0,2,2.13
1,2015012900,-73.943283081054687,40.707721710205078,4,1.05,1,.70
2,2015012900,-73.982803344726563,40.75421142578125,4,0,1,.40
2,2015012900,-73.974494934082031,40.679962158203125,18,0,2,5.42
1,2015012900,-73.975143432617188,40.758060455322266,7.5,0,1,1.60
2,2015012900,-73.972267150878906,40.753765106201172,4.5,0,3,.56
2,2015012900,-73.991767883300781,40.744949340820313,5,1,1,.79
1,2015012900,-73.984703063964844,40.764366149902344,4.5,0,1,.70
1,2015012900,-73.994781494140625,40.726097106933594,12,2,1,3.30
2,2015012900,-73.983047485351563,40.722721099853516,6.5,0,1,1.15
2,2015012900,-73.989860534667969,40.734310150146484,25,0,1,7.84
2,2015012900,-73.982994079589844,40.764026641845703,11.5,2.56,1,2.79
2,2015012900,-73.992027282714844,40.756401062011719,12.5,0,1,3.17
2,2015012900,-73.993141174316406,40.757953643798828,4.5,1.5,5,.67
1,2015012900,-73.956275939941406,40.803253173828125,7,0,2,1.30
1,2015012900,-73.984817504882812,40.732284545898438,7.5,1,1,1.60
2,2015012900,-73.998153686523438,40.735481262207031,7,1.66,5,1.62
1,2015012900,-73.981910705566406,40.768413543701172,7,1,1,1.20
2,2015012900,-73.998443603515625,40.726299285888672,20,0,1,6.65
1,2015012900,-73.982872009277344,40.771804809570313,12.5,0,1,3.10
2,2015012900,0,0,55,16.59,1,.00
2,2015012900,-73.997589111328125,40.721523284912109,6.5,0,5,1.27
2,2015012900,-73.984687805175781,40.760196685791016,8.5,1.96,2,1.85
1,2015012900,-73.987129211425781,40.729396820068359,11.5,5,1,2.90
1,2015012900,-73.99951171875,40.738620758056641,17,3.65,1,4.10
1,2015012900,-73.990867614746094,40.735012054443359,21.5,2,1,5.90
1,2015012900,-73.994041442871094,40.761566162109375,20,4.25,1,6.70
2,2015012900,-73.983413696289062,40.7318115234375,14.5,3.16,4,4.05
2,2015012900,-73.974006652832031,40.742988586425781,28,7.32,1,9.89
1,2015012900,-73.995185852050781,40.721584320068359,7,1.5,1,.80
2,2015012900,-74.008636474609375,40.706146240234375,13,3.58,3,3.82
1,2015012900,-74.000473022460938,40.742527008056641,19,0,1,6.10
1,2015012900,-73.971107482910156,40.758434295654297,14,2,1,4.50
2,2015012900,-74.013008117675781,40.706150054931641,19.5,4.16,2,5.84
1,2015012900,-74.007431030273437,40.725841522216797,16,3,1,4.40
2,2015012900,-73.987022399902344,40.760387420654297,8,0,1,1.53
2,2015012900,-73.987838745117188,40.721050262451172,10.5,0,1,2.19
2,2015012900,-73.980941772460938,40.744441986083984,27,5.66,1,8.91
1,2015012900,-73.987251281738281,40.765644073486328,12.5,0,2,3.20
2,2015012900,-74.000480651855469,40.728862762451172,16.5,3.4,1,4.41
1,2015012900,-73.989082336425781,40.73077392578125,3.5,0,2,.10
2,2015012900,-73.999343872070312,40.754348754882813,7,0,5,1.13
2,2015012900,-73.84423828125,40.722499847412109,10,0,3,2.41
1,2015012900,-73.776763916015625,40.645458221435547,52,6,1,17.00
1,2015012900,-73.994529724121094,40.750259399414063,16.5,3.56,2,4.30
2,2015012900,-73.975601196289063,40.755176544189453,10,2.26,1,2.85
1,2015012900,-73.974830627441406,40.753654479980469,12.5,4.14,1,3.60
