Time,TempPerHour,VSBPerHour,PCP01PerHour
2015010100,31.000,10.000,0.000
2015010101,31.000,10.000,0.000
2015010102,30.000,10.000,0.000
2015010103,31.000,10.000,0.000
2015010104,30.000,10.000,0.000
2015010105,29.000,10.000,0.000
2015010106,29.000,10.000,0.000
2015010107,29.000,10.000,0.000
2015010108,29.000,10.000,0.000
2015010109,29.000,10.000,0.000
2015010110,28.000,10.000,0.000
2015010111,29.000,10.000,0.000
2015010112,29.000,10.000,0.000
2015010113,31.000,10.000,0.000
2015010114,33.000,10.000,0.000
2015010115,34.000,10.000,0.000
2015010116,36.000,10.000,0.000
2015010117,38.000,10.000,0.000
2015010118,39.000,10.000,0.000
2015010119,40.000,10.000,0.000
2015010120,39.000,10.000,0.000
2015010121,39.000,10.000,0.000
2015010122,39.000,10.000,0.000
2015010123,39.000,10.000,0.000
2015010200,38.000,10.000,0.000
2015010201,39.000,10.000,0.000
2015010202,38.000,10.000,0.000
2015010203,37.000,10.000,0.000
2015010204,36.000,10.000,0.000
2015010205,35.000,10.000,0.000
2015010206,37.000,10.000,0.000
2015010207,36.000,10.000,0.000
2015010208,37.000,10.000,0.000
2015010209,37.000,10.000,0.000
2015010210,37.000,10.000,0.000
2015010211,37.000,10.000,0.000
2015010212,37.000,10.000,0.000
2015010213,39.000,10.000,0.000
2015010214,41.000,10.000,0.000
2015010215,42.000,10.000,0.000
2015010216,43.000,10.000,0.000
2015010217,44.000,10.000,0.000
2015010218,44.000,10.000,0.000
2015010219,44.000,10.000,0.000
2015010220,43.000,10.000,0.000
2015010221,41.000,10.000,0.000
2015010222,41.000,10.000,0.000
2015010223,40.000,10.000,0.000
2015010300,40.000,10.000,0.000
2015010301,40.000,10.000,0.000
2015010302,38.000,10.000,0.000
2015010303,37.000,10.000,0.000
2015010304,35.000,10.000,0.000
2015010305,35.000,10.000,0.000
2015010306,33.000,10.000,0.000
2015010307,33.000,10.000,0.000
2015010308,32.000,10.000,0.000
2015010309,31.000,10.000,0.000
2015010310,30.000,10.000,0.000
2015010311,31.000,10.000,0.000
2015010312,32.000,10.000,0.000
2015010313,35.000,10.000,0.000
2015010314,37.000,10.000,0.000
2015010315,39.000,10.000,0.000
2015010316,39.000,10.000,0.000
